date	positive	negative
18-Mar-12	20863	9020
25-Mar-12	21210	10179
1-Apr-12	21351	11114
8-Apr-12	26679	12901
15-Apr-12	21921	9736
22-Apr-12	24675	14456
29-Apr-12	21074	9964
6-May-12	21788	9697
13-May-12	22751	10174
20-May-12	22263	10599
27-May-12	29250	12647
3-Jun-12	28723	12978
10-Jun-12	33922	16332
17-Jun-12	32882	16046
24-Jun-12	39820	30716
1-Jul-12	32034	15487
8-Jul-12	38723	19364
15-Jul-12	40170	18729
22-Jul-12	38743	21142
29-Jul-12	33438	19347
5-Aug-12	37354	23150
12-Aug-12	36108	17290
19-Aug-12	33927	16273
26-Aug-12	33262	15160
2-Sep-12	36107	16316
9-Sep-12	31377	12436
16-Sep-12	34345	15028
23-Sep-12	38638	15406
30-Sep-12	40211	14819
7-Oct-12	41193	14614
14-Oct-12	37237	14086
21-Oct-12	35613	16636
28-Oct-12	43550	17184
4-Nov-12	38483	15172
11-Nov-12	37550	16810
18-Nov-12	38662	15610
25-Nov-12	41133	16569
2-Dec-12	47491	19720
9-Dec-12	47151	15833
16-Dec-12	54895	19284
23-Dec-12	64537	46055
30-Dec-12	75812	30616
6-Jan-13	71968	28530
13-Jan-13	62149	29013
20-Jan-13	66093	26674
27-Jan-13	60860	23016
3-Feb-13	64362	29270
10-Feb-13	49294	20989
17-Feb-13	59997	25932
24-Feb-13	49760	23841
3-Mar-13	46486	21013
10-Mar-13	49440	22189
17-Mar-13	26347	13230